"State","Fire_Deaths","Fire_Rate","Relative_Risk"
"Alabama",108,22.2197305034723,2.04437915189858
"Alaska",19,25.6229754477952,2.35750279720519
"Arizona",58,8.39528231452723,0.772427916506015
"Arkansas",62,20.7480613111905,1.9089747276765
"California",254,6.46368391913819,0.594706612066388
"Colorado",46,8.31810607574359,0.765327133102429
"Connecticut",19,5.29589414901252,0.487261336820036
"Delaware",NA,NA,NA
"District of Columbia",12,17.5352458441467,1.6133719993403
"Florida",147,7.11637337606901,0.6547588578938
"Georgia",186,18.0344049906822,1.65929832380661
"Hawaii",NA,NA,NA
"Idaho",16,9.52366213380031,0.8762471854924
"Illinois",136,10.5954271694488,0.974857476660024
"Indiana",76,11.4561229736417,1.05404784118509
"Iowa",54,17.247607613094,1.58690715977974
"Kansas",53,18.2272706794404,1.6770433902084
"Kentucky",88,19.8371862934961,1.82516750526808
"Louisiana",75,16.0045854204202,1.47253994656568
"Maine",17,12.7797256418429,1.17582905270091
"Maryland",55,9.12900647196764,0.839935952684992
"Massachusetts",42,6.15499959626134,0.566305376771983
"Michigan",122,12.2817411280779,1.13001080311636
"Minnesota",50,9.04969185799223,0.832638422986022
"Mississippi",59,19.7627465528243,1.8183184998817
"Missouri",90,14.7754719285734,1.35945243645136
"Montana",10,9.62782672992791,0.885831096901942
"Nebraska",29,15.2023245926957,1.39872603103108
"Nevada",29,9.86644910579351,0.907786116127757
"New Hampshire",11,8.23960779466897,0.758104712053544
"New Jersey",55,6.12580214594646,0.563618995913178
"New Mexico",22,10.5493729836312,0.970620151759599
"New York",148,7.46107411437806,0.686473869150707
"North Carolina",129,12.7009894661538,1.16858474359221
"North Dakota",NA,NA,NA
"Ohio",164,14.1104958514282,1.29826973090889
"Oklahoma",78,19.8918343255023,1.83019552742651
"Oregon",39,9.54481277360267,0.87819320041164
"Pennsylvania",161,12.5908289496785,1.15844916327051
"Rhode Island",14,13.2379444876254,1.21798856742491
"South Carolina",73,14.7182701314684,1.3541894490612
"South Dakota",15,17.4106427777172,1.6019075978602
"Tennessee",141,21.2049079887461,1.95100799279926
"Texas",230,8.24229125376072,0.758351610089562
"Utah",25,8.21201180821602,0.755565677686242
"Vermont",11,17.6464737532766,1.62360578766185
"Virginia",90,10.6959752233676,0.984108639502145
"Washington",67,9.20211610213745,0.846662578091128
"West Virginia",53,28.9833356756973,2.66668073218143
"Wisconsin",53,9.18080062471018,0.844701396894162
"Wyoming",NA,NA,NA
